region	tags	indicator	Программы бакалавриата / Принято / 3	Программы бакалавриата / Численность студентов / 4	Программы бакалавриата / Выпуск / 5	Программы специалитета / Принято / 6	Программы специалитета / Численность студентов / 7	Программы специалитета / Выпуск / 8	Программы магистратуры / Принято / 9	Программы магистратуры / Численность студентов / 10	Программы магистратуры / Выпуск / 11
Алтайский край	Государственные, Муниципальные; заочная	Из строки 01 - студенты, использующие образовательный кредит для оплаты обучения / 07	2.0	21.0	3.0	6.0	11.0	1.0	7.0	11.0	1.0
Алтайский край	Государственные, Муниципальные; заочная	Студенты, обучающиеся по договорам об оказании платных образовательных услуг - всего (сумма строк 02-04; 05,06) / 01	615.0	4927.0	934.0	261.0	837.0	130.0	518.0	1609.0	565.0
Алтайский край	Государственные, Муниципальные; заочная	в том числе: за счет средств:  лиц зачисляемых на обучение (родителей (законных  представителей) несовершеннолетних обучающихся) / 02	414.0	3168.0	526.0	103.0	130.0	50.0	375.0	891.0	339.0
Алтайский край	Государственные, Муниципальные; заочная	иных физических лиц / 03	193.0	1692.0	394.0	158.0	705.0	78.0	109.0	665.0	214.0
Алтайский край	Государственные, Муниципальные; заочная	получают второе и последующее высшее образование / 06	26.0	208.0	54.0	11.0	55.0	21.0	19.0	40.0	77.0
Алтайский край	Государственные, Муниципальные; заочная	получают первое высшее образование / 05	589.0	4719.0	880.0	250.0	782.0	109.0	499.0	1569.0	488.0
Алтайский край	Государственные, Муниципальные; заочная	юридических лиц / 04	8.0	67.0	14.0	0.0	2.0	2.0	34.0	53.0	12.0
Алтайский край	Государственные, Муниципальные; очная	Из строки 01 - студенты, использующие образовательный кредит для оплаты обучения / 07	43.0	175.0	12.0	18.0	297.0	6.0	5.0	6.0	0.0
Алтайский край	Государственные, Муниципальные; очная	Студенты, обучающиеся по договорам об оказании платных образовательных услуг - всего (сумма строк 02-04; 05,06) / 01	1185.0	5565.0	1215.0	766.0	4240.0	557.0	283.0	732.0	71.0
Алтайский край	Государственные, Муниципальные; очная	в том числе: за счет средств:  лиц зачисляемых на обучение (родителей (законных  представителей) несовершеннолетних обучающихся) / 02	598.0	3002.0	709.0	436.0	2699.0	339.0	60.0	88.0	11.0
Алтайский край	Государственные, Муниципальные; очная	иных физических лиц / 03	582.0	2542.0	503.0	234.0	978.0	72.0	222.0	637.0	60.0
Алтайский край	Государственные, Муниципальные; очная	получают второе и последующее высшее образование / 06	8.0	18.0	0.0	7.0	23.0	2.0	1.0	0.0	1.0
Алтайский край	Государственные, Муниципальные; очная	получают первое высшее образование / 05	1177.0	5547.0	1215.0	759.0	4217.0	555.0	282.0	732.0	70.0
Алтайский край	Государственные, Муниципальные; очная	юридических лиц / 04	5.0	21.0	3.0	96.0	563.0	146.0	1.0	7.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Из строки 01 - студенты, использующие образовательный кредит для оплаты обучения / 07	4.0	4.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Студенты, обучающиеся по договорам об оказании платных образовательных услуг - всего (сумма строк 02-04; 05,06) / 01	663.0	1513.0	60.0	0.0	0.0	0.0	167.0	238.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	в том числе: за счет средств:  лиц зачисляемых на обучение (родителей (законных  представителей) несовершеннолетних обучающихся) / 02	210.0	698.0	35.0	0.0	0.0	0.0	33.0	56.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	иных физических лиц / 03	446.0	804.0	25.0	0.0	0.0	0.0	133.0	179.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	получают второе и последующее высшее образование / 06	17.0	29.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	получают первое высшее образование / 05	646.0	1484.0	60.0	0.0	0.0	0.0	167.0	237.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	юридических лиц / 04	7.0	11.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0
Алтайский край	заочная; Частные	Из строки 01 - студенты, использующие образовательный кредит для оплаты обучения / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	Студенты, обучающиеся по договорам об оказании платных образовательных услуг - всего (сумма строк 02-04; 05,06) / 01	14.0	248.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	в том числе: за счет средств:  лиц зачисляемых на обучение (родителей (законных  представителей) несовершеннолетних обучающихся) / 02	14.0	247.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	иных физических лиц / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	получают второе и последующее высшее образование / 06	8.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
