region	tags	indicator	Программы бакалавриата / Принято / 3	Программы бакалавриата / Численность студентов / 4	Программы бакалавриата / Выпуск / 5	Программы специалитета / Принято / 6	Программы специалитета / Численность студентов / 7	Программы специалитета / Выпуск / 8	Программы магистратуры / Принято / 9	Программы магистратуры / Численность студентов / 10	Программы магистратуры / Выпуск / 11
Алтайский край	Государственные, Муниципальные; заочная	Из строки 01 – по договорам о целевом приеме, заключенным:  с федеральным государственным органом / 06	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Из строки 14 – заключили договор:  с федеральным государственным органом / 20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Кроме поступивших в рамках квоты приема на целевое обучение кроме стр. 01) студенты, заключившие договор о целевом обучении, – всего (сумма стр. 15, 17–19; 20–23) / 14	0.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Студенты, обучающиеся в рамках квоты приема на целевое обучение - всего (сумма стр. 02, 04, 05; 06-13) / 01	127.0	565.0	88.0	4.0	9.0	1.0	35.0	97.0	21.0
Алтайский край	Государственные, Муниципальные; заочная	бюджета субъекта Российской Федерации / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	бюджета субъекта Российской Федерации / 17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	в том числе за счет бюджетных ассигнований: федерального бюджета / 02	127.0	565.0	88.0	4.0	9.0	1.0	35.0	97.0	21.0
Алтайский край	Государственные, Муниципальные; заочная	в том числе за счет бюджетных ассигнований: федерального бюджета / 15	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	из них в рамках реализации государственного плана / 03	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	из них в рамках реализации государственного плана / 16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	местного бюджета / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	местного бюджета / 18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	по договорам об оказании платных образовательных услуг / 19	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	с государственными (муниципальными) учреждениями / 09	47.0	154.0	24.0	2.0	3.0	1.0	12.0	27.0	3.0
Алтайский край	Государственные, Муниципальные; заочная	с государственными компаниями / 12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	с государственными корпорациями / 11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	с государственными хозяйственными обществами / 13	1.0	11.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	с организациями / 23	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	с органом государственной власти субъекта Российской Федерации / 07	3.0	27.0	2.0	0.0	1.0	0.0	6.0	12.0	4.0
Алтайский край	Государственные, Муниципальные; заочная	с органом государственной власти субъекта Российской Федерации / 21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	с органом местного самоуправления / 08	68.0	359.0	62.0	2.0	5.0	0.0	15.0	55.0	13.0
Алтайский край	Государственные, Муниципальные; заочная	с органом местного самоуправления / 22	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	с унитарными предприятиями / 10	8.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Алтайский край	Государственные, Муниципальные; очная	Из строки 01 – по договорам о целевом приеме, заключенным:  с федеральным государственным органом / 06	5.0	26.0	4.0	23.0	49.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	Из строки 14 – заключили договор:  с федеральным государственным органом / 20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	Кроме поступивших в рамках квоты приема на целевое обучение кроме стр. 01) студенты, заключившие договор о целевом обучении, – всего (сумма стр. 15, 17–19; 20–23) / 14	0.0	37.0	2.0	0.0	4.0	0.0	0.0	40.0	1.0
Алтайский край	Государственные, Муниципальные; очная	Студенты, обучающиеся в рамках квоты приема на целевое обучение - всего (сумма стр. 02, 04, 05; 06-13) / 01	311.0	1178.0	164.0	355.0	1940.0	336.0	41.0	110.0	27.0
Алтайский край	Государственные, Муниципальные; очная	бюджета субъекта Российской Федерации / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	бюджета субъекта Российской Федерации / 17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	в том числе за счет бюджетных ассигнований: федерального бюджета / 02	311.0	1178.0	164.0	355.0	1940.0	336.0	41.0	110.0	27.0
Алтайский край	Государственные, Муниципальные; очная	в том числе за счет бюджетных ассигнований: федерального бюджета / 15	0.0	19.0	1.0	0.0	0.0	0.0	0.0	39.0	1.0
Алтайский край	Государственные, Муниципальные; очная	из них в рамках реализации государственного плана / 03	10.0	42.0	1.0	1.0	53.0	34.0	0.0	3.0	1.0
Алтайский край	Государственные, Муниципальные; очная	из них в рамках реализации государственного плана / 16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	местного бюджета / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	местного бюджета / 18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	по договорам об оказании платных образовательных услуг / 19	0.0	18.0	1.0	0.0	4.0	0.0	0.0	1.0	0.0
Алтайский край	Государственные, Муниципальные; очная	с государственными (муниципальными) учреждениями / 09	102.0	307.0	20.0	11.0	57.0	12.0	33.0	79.0	17.0
Алтайский край	Государственные, Муниципальные; очная	с государственными компаниями / 12	2.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	с государственными корпорациями / 11	0.0	0.0	0.0	1.0	52.0	34.0	0.0	0.0	1.0
Алтайский край	Государственные, Муниципальные; очная	с государственными хозяйственными обществами / 13	28.0	83.0	1.0	1.0	3.0	0.0	0.0	7.0	0.0
Алтайский край	Государственные, Муниципальные; очная	с организациями / 23	0.0	32.0	0.0	0.0	4.0	0.0	0.0	40.0	1.0
Алтайский край	Государственные, Муниципальные; очная	с органом государственной власти субъекта Российской Федерации / 07	24.0	94.0	14.0	313.0	1746.0	289.0	2.0	5.0	6.0
Алтайский край	Государственные, Муниципальные; очная	с органом государственной власти субъекта Российской Федерации / 21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	с органом местного самоуправления / 08	143.0	641.0	125.0	6.0	31.0	1.0	6.0	18.0	3.0
Алтайский край	Государственные, Муниципальные; очная	с органом местного самоуправления / 22	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	с унитарными предприятиями / 10	7.0	24.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Из строки 01 – по договорам о целевом приеме, заключенным:  с федеральным государственным органом / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Из строки 14 – заключили договор:  с федеральным государственным органом / 20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
