region	tags	indicator	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > Выпуск > 11.0	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > Принято > 9.0	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > Численность студентов > 10.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > Выпуск > 14.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > Принято > 12.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > Численность студентов > 13.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > Выпуск > 5.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > Принято > 3.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > Численность студентов > 4.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > Выпуск > 8.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > Принято > 6.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > Численность студентов > 7.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    из них (из стр. 05) - дети-инвалиды / 6.0	6.0	19.0	28.0	0.0	0.0	0.0	4.0	60.0	96.0	0.0	2.0	11.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"    из них ставшие инвалидами вследствие ранения,
    контузии, увечья или заболевания / 3.0"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Военнослужащие, исполнявшие интернациональный долг, участники других локальных конфликтов / 2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Граждане, подвергшиеся воздействию радиации / 4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Инвалиды 1 и 2 групп, инвалиды с детства / 5.0	16.0	32.0	77.0	1.0	0.0	0.0	28.0	74.0	176.0	14.0	20.0	56.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Справка 6. Численность студентов, обучающихся по программам подготовки квалифицированных рабочих, служащих, находящихся в академическом отпуске: по состоянию здоровья / 9.0								12.0				
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Справка 6. Численность студентов, обучающихся по программам подготовки квалифицированных рабочих, служащих, находящихся в академическом отпуске: по уходу за ребенком до 3 лет / 10.0								71.0				
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Справка 6. Численность студентов, обучающихся по программам подготовки специалистов среднего звена, находящихся в академическом отпуске: по состоянию здоровья / 7.0								92.0				
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Справка 6. Численность студентов, обучающихся по программам подготовки специалистов среднего звена, находящихся в академическом отпуске: по уходу за ребенком до 3 лет / 8.0								136.0				
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Студенты, находящиеся на полном государственном обеспечении / 1.0	209.0	114.0	595.0	8.0	6.0	13.0	121.0	74.0	450.0	62.0	63.0	167.0
Алтайский край	Частные; Очная	    из них (из стр. 05) - дети-инвалиды / 6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	1.0	1.0
Алтайский край	Частные; Очная	"    из них ставшие инвалидами вследствие ранения,
    контузии, увечья или заболевания / 3.0"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Очная	Военнослужащие, исполнявшие интернациональный долг, участники других локальных конфликтов / 2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Очная	Граждане, подвергшиеся воздействию радиации / 4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Очная	Инвалиды 1 и 2 групп, инвалиды с детства / 5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	1.0	1.0
Алтайский край	Частные; Очная	Справка 6. Численность студентов, обучающихся по программам подготовки квалифицированных рабочих, служащих, находящихся в академическом отпуске: по состоянию здоровья / 9.0								0.0				
Алтайский край	Частные; Очная	Справка 6. Численность студентов, обучающихся по программам подготовки квалифицированных рабочих, служащих, находящихся в академическом отпуске: по уходу за ребенком до 3 лет / 10.0								0.0				
Алтайский край	Частные; Очная	Справка 6. Численность студентов, обучающихся по программам подготовки специалистов среднего звена, находящихся в академическом отпуске: по состоянию здоровья / 7.0								0.0				
Алтайский край	Частные; Очная	Справка 6. Численность студентов, обучающихся по программам подготовки специалистов среднего звена, находящихся в академическом отпуске: по уходу за ребенком до 3 лет / 8.0								0.0				
Алтайский край	Частные; Очная	Студенты, находящиеся на полном государственном обеспечении / 1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    из них (из стр. 05) - дети-инвалиды / 6.0	2.0	18.0	19.0	0.0	0.0	0.0	0.0	15.0	29.0	0.0	1.0	1.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"    из них ставшие инвалидами вследствие ранения,
    контузии, увечья или заболевания / 3.0"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Военнослужащие, исполнявшие интернациональный долг, участники других локальных конфликтов / 2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Граждане, подвергшиеся воздействию радиации / 4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Инвалиды 1 и 2 групп, инвалиды с детства / 5.0	8.0	21.0	32.0	0.0	0.0	0.0	16.0	26.0	63.0	2.0	4.0	13.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Справка 6. Численность студентов, обучающихся по программам подготовки квалифицированных рабочих, служащих, находящихся в академическом отпуске: по состоянию здоровья / 9.0								19.0				
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Справка 6. Численность студентов, обучающихся по программам подготовки квалифицированных рабочих, служащих, находящихся в академическом отпуске: по уходу за ребенком до 3 лет / 10.0								79.0				
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Справка 6. Численность студентов, обучающихся по программам подготовки специалистов среднего звена, находящихся в академическом отпуске: по состоянию здоровья / 7.0								18.0				
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Справка 6. Численность студентов, обучающихся по программам подготовки специалистов среднего звена, находящихся в академическом отпуске: по уходу за ребенком до 3 лет / 8.0								128.0				
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Студенты, находящиеся на полном государственном обеспечении / 1.0	145.0	229.0	606.0	14.0	12.0	20.0	101.0	172.0	591.0	33.0	31.0	78.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    из них (из стр. 05) - дети-инвалиды / 6.0	0.0	15.0	24.0	0.0	0.0	0.0	3.0	38.0	60.0	0.0	2.0	6.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"    из них ставшие инвалидами вследствие ранения,
    контузии, увечья или заболевания / 3.0"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Военнослужащие, исполнявшие интернациональный долг, участники других локальных конфликтов / 2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Граждане, подвергшиеся воздействию радиации / 4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Инвалиды 1 и 2 групп, инвалиды с детства / 5.0	4.0	20.0	41.0	1.0	1.0	1.0	12.0	42.0	99.0	4.0	5.0	14.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Справка 6. Численность студентов, обучающихся по программам подготовки квалифицированных рабочих, служащих, находящихся в академическом отпуске: по состоянию здоровья / 9.0								7.0				
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Справка 6. Численность студентов, обучающихся по программам подготовки квалифицированных рабочих, служащих, находящихся в академическом отпуске: по уходу за ребенком до 3 лет / 10.0								17.0				
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Справка 6. Численность студентов, обучающихся по программам подготовки специалистов среднего звена, находящихся в академическом отпуске: по состоянию здоровья / 7.0								38.0				
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Справка 6. Численность студентов, обучающихся по программам подготовки специалистов среднего звена, находящихся в академическом отпуске: по уходу за ребенком до 3 лет / 8.0								50.0				
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Студенты, находящиеся на полном государственном обеспечении / 1.0	123.0	73.0	276.0	5.0	1.0	1.0	77.0	46.0	286.0	28.0	23.0	67.0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    из них (из стр. 05) - дети-инвалиды / 6.0	0.0	10.0	13.0	0.0	0.0	0.0	3.0	20.0	49.0	0.0	4.0	5.0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"    из них ставшие инвалидами вследствие ранения,
    контузии, увечья или заболевания / 3.0"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Военнослужащие, исполнявшие интернациональный долг, участники других локальных конфликтов / 2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Граждане, подвергшиеся воздействию радиации / 4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Инвалиды 1 и 2 групп, инвалиды с детства / 5.0	8.0	13.0	27.0	0.0	0.0	0.0	14.0	22.0	82.0	1.0	4.0	12.0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Справка 6. Численность студентов, обучающихся по программам подготовки квалифицированных рабочих, служащих, находящихся в академическом отпуске: по состоянию здоровья / 9.0								6.0				
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Справка 6. Численность студентов, обучающихся по программам подготовки квалифицированных рабочих, служащих, находящихся в академическом отпуске: по уходу за ребенком до 3 лет / 10.0								34.0				
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Справка 6. Численность студентов, обучающихся по программам подготовки специалистов среднего звена, находящихся в академическом отпуске: по состоянию здоровья / 7.0								21.0				
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Справка 6. Численность студентов, обучающихся по программам подготовки специалистов среднего звена, находящихся в академическом отпуске: по уходу за ребенком до 3 лет / 8.0								91.0				
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Студенты, находящиеся на полном государственном обеспечении / 1.0	76.0	38.0	183.0	5.0	0.0	27.0	90.0	85.0	387.0	9.0	1.0	75.0
Астраханская область	Частные; Очная	    из них (из стр. 05) - дети-инвалиды / 6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Астраханская область	Частные; Очная	"    из них ставшие инвалидами вследствие ранения,
    контузии, увечья или заболевания / 3.0"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Частные; Очная	Военнослужащие, исполнявшие интернациональный долг, участники других локальных конфликтов / 2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Частные; Очная	Граждане, подвергшиеся воздействию радиации / 4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Частные; Очная	Инвалиды 1 и 2 групп, инвалиды с детства / 5.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
